Film	Year	Description	Wikipedia Article	Wikipedia URL	Wikidata ID
All About Steve	2009	American romantic comedy features a subplot involving a group of deaf children (played by a group of deaf child actors) who fall into a mineshaft and need to be rescued; Mary (Sandra Bullock) accidentally falls in herself, and discovers a child (played by deaf child actress Delaney Hamilton) who has been left behind, and helps her to be rescued. Deaf actor Tyrone Giordano also appears in the film in a small role as the father of one of the deaf children.	All About Steve	https://en.wikipedia.org/wiki/All_About_Steve	Q590813
All the Silence	2023	Mexican drama about an actress and sign language teacher who learns she will soon become deaf, and struggles to accept this, despite her deaf parents, friends, and girlfriend.	All the Silence		
Adventures of Power	2008	In the quest to become the world's greatest air-drummer, a small-town dreamer must overcome obstacles and ridicule to save the day.	Adventures of Power	https://en.wikipedia.org/wiki/Adventures_of_Power	Q379983
Audible	2021	Football player Amaree McKenstry-Hall and his Maryland School for the Deaf teammates attempt to defend their winning streak while coming to terms with the tragic loss of a close friend.	Audible (film)	https://en.wikipedia.org/wiki/Audible_(film)	Q110313324
Batman Forever	1995	In this superhero sequel, a bank security guard (played by hearing actor Joe Grifasi), that wears a hearing aid, is held captive by Two-Face. The guard and Batman are trapped in the bank's vault as it fills with acid; Batman uses the guard's hearing aid to help him open the vault's lock and free them both.	Batman Forever	https://en.wikipedia.org/wiki/Batman_Forever	Q221345
Bohemian Rhapsody	2018	In this biopic of Freddie Mercury, the father of his one-time fiancée Mary Austin is deaf (played by deaf actor Neil Fox-Roberts) and converses in sign language.	Bohemian Rhapsody (film)	https://en.wikipedia.org/wiki/Bohemian_Rhapsody_(film)	Q27894574
Boy Kills World	2023	Action film about a deaf-mute man (played by hearing actor Bill Skarsgård) who avenges the murder of his family.	Boy Kills World	https://en.wikipedia.org/wiki/Boy_Kills_World	Q111170197
Causeway	2022	The drama contains a scene where the main (hearing) character visits her deaf, incarcerated brother (played by deaf actor Russell Harvard) in prison, where they communicate through ASL.	Causeway (film)	https://en.wikipedia.org/wiki/Causeway_(film)	Q64691760
Close to You	2023	Drama about a trans man (played by Elliot Page) returning home for a family reunion, and reconnects with an old deaf friend (played by deaf actor Hillary Baack).	Close to You (2023 film)	https://en.wikipedia.org/wiki/Close_to_You_(2023_film)	Q119414655
Concerto for Abigail	2024	American romantic drama about a world-renowned pianist (played by hearing actor Monica Young) who falls in love shortly after discovering she has hearing loss that will eventually make her deaf.	Concerto for Abigail		
Copying Beethoven	2006	Fictionalised biopic of Ludwig van Beethoven (played by hearing actor Ed Harris) in his final years, as a student aids the deaf composer.	Copying Beethoven	https://en.wikipedia.org/wiki/Copying_Beethoven	Q1347019
Creed III	2023	Continues the story of Adonis (Michael B. Jordan) and Bianca (Tessa Thompson) as they continue to raise their deaf daughter (played by deaf actress Mila Davis-Kent), while Adonis confronts a former childhood friend.	Creed III	https://en.wikipedia.org/wiki/Creed_III	Q110664384
Dig	2022	American thriller about a father (Thomas Jane) and his deaf daughter (Harlow Jane) that are taken hostage.	Dig (2022 film)	https://en.wikipedia.org/wiki/Dig_(2022_film)	Q108532337
Extraction 2	2023	American action sequel features crime lord Zurab (played by hearing actor Tornike Gogrichiani), who wears a hearing aid after being beaten by his father in childhood, and has tinnitus that manifests as auditory hallucinations.	Extraction 2	https://en.wikipedia.org/wiki/Extraction_2	Q108690659
''Forgiveness''	2021	Horror film about three women who wake up in a hospital blind, deaf, and mute respectively, and must work together to figure a way out of their predicament.	Forgiveness (2021 film)	https://en.wikipedia.org/wiki/Forgiveness_(2021_film)	Q115804842
Freddy's Dead: The Final Nightmare	1991	In this horror sequel, one of the teens, Carlos, is deaf in one ear after being physically abused by his mother. Freddy Krueger later attacks him in his dreams by making his hearing aid extremely sensitive to noise.	Freddy's Dead: The Final Nightmare	https://en.wikipedia.org/wiki/Freddy%27s_Dead:_The_Final_Nightmare	Q748614
Fuzz	1972	American action comedy film features hearing actor Yul Brynner as master criminal The Deaf Man, a recurring character in the series of novels on which the film is based.	Fuzz (film)	https://en.wikipedia.org/wiki/Fuzz_(film)	Q759473
Godzilla x Kong: The New Empire	2024	In this monster movie sequel, deaf actor Kaylee Hottle reprises her role as a young girl who communicates with King Kong and other characters in sign language.	Godzilla x Kong: The New Empire	https://en.wikipedia.org/wiki/Godzilla_x_Kong:_The_New_Empire	Q113360912
Hell's Highway	1932	An American crime drama starring Richard Dix about a chain gang that makes a prison escape. One of the convicts was portrayed by deaf actor Joe Hermano.	Hell's Highway (1932 film)	https://en.wikipedia.org/wiki/Hell%27s_Highway_(1932_film)	Q5706371
Hoppers	2026	Animated sci-fi comedy features a sequence where the main character visits an elderly man about signing a petition to save the glade, only to realise that he hasn't been listening because his hearing aid has been turned off.	Hoppers (film)	https://en.wikipedia.org/wiki/Hoppers_(film)	Q128798957
In Cold Light	2025	Canadian crime thriller features Deaf actor Troy Kotsur playing the protagonist's father.	In Cold Light	https://en.wikipedia.org/wiki/In_Cold_Light	Q133887490
Living in Two Worlds	2024	Japanese drama about a CODA who moves away from his deaf parents for an independent life in Tokyo.	Living in Two Worlds		
Love N' Dancing	2009	American romance about a woman (Amy Smart) who falls for her dance teacher (played by hearing actor Tom Malloy, also the film's screenwriter), who is deaf after an infection and uses hearing aids.	Love N' Dancing	https://en.wikipedia.org/wiki/Love_N%27_Dancing	Q1670516
Marnie	1964	The Alfred Hitchcock thriller contains a sequence where the title character commits a robbery in an office, attempting to evade a cleaning lady (played by hearing actor Edith Evanson), who is revealed as deaf when Marnie's shoe falls to the floor but the cleaning lady doesn't hear it.	Marnie (film)	https://en.wikipedia.org/wiki/Marnie_(film)	Q129895
Marty Supreme	2025	American sports drama features deaf table tennis champion Koto Kawaguchi as Japanese champion Koto Endo, who was deafened during the US bombing raids on Tokyo, and his ability to focus makes him a formidable opponent.	Marty Supreme	https://en.wikipedia.org/wiki/Marty_Supreme	Q130118681
Mea Maxima Culpa: Silence in the House of God	2012	American documentary following allegations of clerical sexual abuse at St. John's School for the Deaf. Features four of the victims.	Mea Maxima Culpa: Silence in the House of God	https://en.wikipedia.org/wiki/Mea_Maxima_Culpa:_Silence_in_the_House_of_God	Q6803115
Millstone	2022	A desperate, grieving couple think they have found the only therapist who can give them what they want: to make them forget they had ever had a child.	Millstone	https://en.wikipedia.org/wiki/Millstone	Q670985
The Night of the 12th	2022	A scene in this French crime drama features investigators hiring a deaf woman (who communicates in LSF) and her interpreter to try and lip-read a hidden camera video that has no sound.	The Night of the 12th	https://en.wikipedia.org/wiki/The_Night_of_the_12th	Q112584985
Nutty Professor II: The Klumps	2000	In this American comedy sequel, Granny Klump (Eddie Murphy) has a relationship with an elderly man who uses hearing aids, which she deactivates when she has a conversation she doesn't want him to hear.	Nutty Professor II: The Klumps	https://en.wikipedia.org/wiki/Nutty_Professor_II:_The_Klumps	Q599432
Once in a Lifetime	1994	Made for television romantic drama about a widowed hearing novelist (played by Lindsay Wagner), who gives birth to a deaf son (played by deaf actor Darrell Thomas Utley). She enrols her son in a school for the deaf, where she falls for his hearing teacher (played by Barry Bostwick).	Once in a Lifetime (1994 film)	https://en.wikipedia.org/wiki/Once_in_a_Lifetime_(1994_film)	Q7091926
Out of This World	2020	French thriller about a serial killer taxi driver who becomes obsessed with a deaf dancer (played by hearing actor Aurélia Poirier).	Out of this World (2020 film)		
Past Future	2022	Partly-signed musical starring deaf actor Hillary Baack and her husband Alexander Baack (who directs), as their family deals with COVID-19 pandemic in 2020.	Past Future (film)		
The Penguin Pool Murder	1932	Edna May Oliver portrays Hildegarde Withers, who takes her elementary school class to the New York Aquarium where a murder occurs. One of the chief suspects is Chicago Lew, portrayed by deaf actor Joe Hermano.	The Penguin Pool Murder	https://en.wikipedia.org/wiki/The_Penguin_Pool_Murder	Q2376991
Perfect Sense	2011	Ewan McGregor and Eva Green play two people who fall in love during a global epidemic that causes people to lose their senses one by one; late in the film, the entire world becomes deaf.	Perfect Sense	https://en.wikipedia.org/wiki/Perfect_Sense	Q1933953
Preman	2021	Indonesian action film about a deaf gangster (played by hearing actor Khiva Iskak) who turns on his organisation to protect his son.	Preman (film)	https://en.wikipedia.org/wiki/Preman_(film)	Q108867226
Primate	2025	American horror film about a family's adopted chimpanzee turning violent features deaf actor Troy Kotsur as the father, whose deafness makes him initially unaware of the dangerous animal sneaking up on him; the film simulates the character's deafness to build suspense.	Primate (2025 film)	https://en.wikipedia.org/wiki/Primate_(2025_film)	Q133857446
Protein	2024	Welsh horror crime film about a cannibalistic vigilante who targets a gang, one of whom, Gary (played by hearing actor Gareth John Bale), wears hearing aids.	Protein (film)	https://en.wikipedia.org/wiki/Protein_(film)	Q139962227
Rally Caps	2024	American family drama about a young baseball player who befriends another player (played by Colten Pride), who was born deaf and wears a hearing aid and a cochlear implant.	Rally Caps	https://en.wikipedia.org/wiki/Rally_Caps	Q125188477
Rangasthalam	2018	In the Indian Telugu-language period action-drama film, the Protagonist (played by hearing actor Ram Charan) is partially deaf and does not want to use a hearing aid.	Rangasthalam	https://en.wikipedia.org/wiki/Rangasthalam	Q29832413
Satan's Slaves	2017	An Indonesian horror film which features a deaf child who communicates through Indonesian Sign Language.	Satan's Slaves	https://en.wikipedia.org/wiki/Satan%27s_Slaves	Q41850450
Satan's Slaves 2: Communion	2022	Indonesian horror sequel which also features a deaf child.	Satan's Slaves 2: Communion	https://en.wikipedia.org/wiki/Satan%27s_Slaves_2:_Communion	Q110467827
The Silent Hour	2024	American action-thriller about a police officer (played by hearing actor Joel Kinnaman) who becomes hearing impaired in an accident, and has to protect a deaf witness (played by deaf actor Sandra Mae Frank) from those that wish to eliminate her.	The Silent Hour	https://en.wikipedia.org/wiki/The_Silent_Hour	Q124737123
Small, Slow But Steady	2022	Japanese drama about a deaf woman (played by hearing actor Yukino Kishii) with dreams of becoming a professional boxer.	Small, Slow But Steady		
Solarbabies	1986	American science fiction film set in a post-apocalyptic future about a group of roller skating orphans, one of whom, Daniel (played by hearing actor Lukas Haas), is deaf, and has his hearing restored after an encounter with an alien orb.	Solarbabies	https://en.wikipedia.org/wiki/Solarbabies	Q448211
Speed 2: Cruise Control	1997	Action sequel involves a cruise ship that is hijacked; one of the passengers is a young deaf girl (played by deaf actor Christine Firkins).	Speed 2: Cruise Control	https://en.wikipedia.org/wiki/Speed_2:_Cruise_Control	Q831800
Thelma	2024	In this American action-comedy, both the title character (played by June Squibb) and Ben (played by Richard Roundtree) use hearing aids, which they connect to their phones to talk to each other privately and to guide Thelma through an antiques shop.	Thelma (2024 film)	https://en.wikipedia.org/wiki/Thelma_(2024_film)	Q123690673
This Is Normal	2013	The American short film stars hearing actress Ryann Turner as a deaf woman who undergoes surgery to become completely hearing. It also features multiple deaf side characters who disapprove of her choice.	This Is Normal	https://en.wikipedia.org/wiki/This_Is_Normal	Q3028561
Venom: Let There Be Carnage	2021	In this superhero sequel, Patrick Mulligan (played by hearing actor Stephen Graham) wears a hearing aid after an encounter as a young officer with the sonic screams of Shriek.	Venom: Let There Be Carnage	https://en.wikipedia.org/wiki/Venom:_Let_There_Be_Carnage	Q60498064
The Way We Talk	2024	Hong Kong drama about a cochlear implant user (played by hearing actor Chung Suet Ying) as she navigates whether to integrate with hearing people or embrace the deaf community after befriending a sign language enthusiast (played by hearing actor Neo Yau). Deaf actor Marco Ng plays a friend of the protagonists, and much of the film is in Hong Kong Sign Language.	The Way We Talk (film)	https://en.wikipedia.org/wiki/The_Way_We_Talk_(film)	Q131311712
World of Delight			World of Delight	https://en.wikipedia.org/wiki/World_of_Delight	Q21647314
